BOOK_ID,TITLE,CATEGORY_ID,PRICE,STOCK,PUBLISHED_DATE
1,Handcrafted Fresh Shoes,3,80.00,1,2023-06-13
2,Handmade Wooden Chicken,3,98.00,9,2018-10-22
3,Unbranded Plastic Ball,8,51.00,4,2020-02-05
4,Fantastic Soft Soap,8,84.00,99,2018-01-29
5,Fantastic Plastic Salad,4,99.00,87,2020-08-18
6,Rustic Cotton Chair,2,48.00,92,2021-06-27
7,Incredible Frozen Cheese,1,40.00,86,2019-01-09
8,Unbranded Granite Pants,6,92.00,47,2016-06-09
9,Unbranded Rubber Cheese,4,37.00,54,2021-10-21
10,Intelligent Steel Hat,7,89.00,90,2019-07-28
11,Gorgeous Soft Computer,8,24.00,51,2024-09-23
12,Generic Soft Shirt,7,70.00,96,2019-01-01
13,Tasty Steel Bike,2,95.00,66,2017-11-18
14,Incredible Cotton Hat,1,76.00,13,2021-03-31
15,Generic Wooden Sausages,5,69.00,84,2016-09-25
16,Tasty Wooden Tuna,2,81.00,75,2018-04-24
17,Intelligent Soft Bike,7,47.00,15,2020-01-17
18,Practical Wooden Cheese,2,88.00,67,2018-06-14
19,Incredible Concrete Pants,5,48.00,47,2016-10-04
20,Intelligent Wooden Car,6,72.00,88,2020-09-22
21,Unbranded Soft Fish,8,16.00,57,2018-10-05
22,Licensed Frozen Pizza,6,22.00,66,2015-05-29
23,Handcrafted Granite Table,1,29.00,8,2017-12-06
24,Ergonomic Rubber Shirt,7,83.00,56,2019-09-22
25,Unbranded Cotton Salad,8,59.00,18,2016-07-31
26,Handmade Soft Chips,3,76.00,64,2021-03-13
27,Unbranded Wooden Ball,6,65.00,31,2015-07-11
28,Sleek Plastic Cheese,8,47.00,1,2019-10-28
29,Handmade Metal Hat,3,70.00,89,2022-06-14
30,Ergonomic Granite Cheese,4,51.00,33,2015-05-29
31,Unbranded Plastic Shirt,6,86.00,73,2016-03-29
32,Handmade Metal Pizza,2,62.00,85,2014-11-07
33,Refined Steel Salad,6,75.00,94,2018-03-10
34,Small Rubber Mouse,2,51.00,63,2017-05-26
35,Handcrafted Granite Bacon,7,46.00,42,2016-11-23
36,Incredible Plastic Shirt,8,43.00,56,2017-01-09
37,Practical Soft Bacon,6,71.00,69,2021-09-28
38,Small Rubber Sausages,6,60.00,11,2019-04-21
39,Awesome Steel Towels,6,35.00,59,2017-12-30
40,Practical Soft Sausages,1,30.00,40,2015-06-24
41,Handcrafted Granite Bike,5,85.00,93,2018-11-19
42,Handmade Fresh Mouse,6,51.00,91,2019-04-15
43,Small Fresh Pizza,3,35.00,9,2019-05-12
44,Intelligent Frozen Towels,8,69.00,57,2015-05-20
45,Gorgeous Plastic Cheese,1,64.00,65,2019-10-05
46,Ergonomic Frozen Keyboard,7,57.00,50,2018-04-07
47,Handmade Soft Ball,8,22.00,36,2018-09-14
48,Ergonomic Steel Keyboard,6,86.00,1,2019-03-10
49,Gorgeous Rubber Pants,5,12.00,19,2020-12-14
50,Small Metal Chicken,6,85.00,52,2018-03-13
51,Incredible Rubber Gloves,1,35.00,92,2017-09-28
52,Awesome Frozen Mouse,8,98.00,77,2020-04-29
53,Handmade Frozen Cheese,3,31.00,87,2019-06-23
54,Small Wooden Tuna,4,90.00,40,2018-04-20
55,Refined Granite Mouse,5,81.00,46,2017-02-24
56,Licensed Plastic Car,8,17.00,96,2015-10-04
57,Sleek Metal Pants,6,15.00,27,2018-11-23
58,Practical Plastic Chips,5,82.00,34,2021-05-20
59,Awesome Concrete Table,6,31.00,72,2019-11-11
60,Fantastic Steel Ball,1,73.00,56,2019-12-01
61,Gorgeous Wooden Chair,5,26.00,5,2023-09-21
62,Gorgeous Soft Gloves,5,33.00,94,2015-01-12
63,Practical Soft Gloves,6,74.00,28,2016-02-11
64,Tasty Fresh Bike,8,23.00,59,2016-03-16
65,Refined Concrete Shirt,3,95.00,42,2017-08-03
66,Sleek Wooden Ball,8,65.00,10,2017-11-26
67,Gorgeous Soft Cheese,8,44.00,65,2022-03-27
68,Awesome Soft Keyboard,7,62.00,71,2019-12-26
69,Generic Steel Sausages,3,93.00,31,2015-08-18
70,Fantastic Rubber Sausages,6,47.00,43,2020-08-16
71,Rustic Cotton Computer,4,57.00,31,2023-10-30
72,Licensed Cotton Shoes,8,42.00,5,2021-02-22
73,Rustic Metal Sausages,3,56.00,67,2020-10-25
74,Small Cotton Ball,5,39.00,80,2016-01-02
75,Fantastic Soft Table,7,70.00,17,2014-12-25
76,Generic Steel Salad,1,32.00,32,2022-08-07
77,Tasty Fresh Ball,8,33.00,84,2015-11-17
78,Rustic Frozen Chair,2,61.00,4,2021-05-10
79,Incredible Fresh Soap,8,48.00,8,2023-10-10
80,Gorgeous Concrete Chicken,3,24.00,25,2016-05-05
81,Incredible Plastic Bike,6,16.00,81,2018-05-23
82,Unbranded Plastic Bacon,1,84.00,74,2019-06-05
83,Refined Concrete Table,3,66.00,60,2018-12-26
84,Tasty Fresh Tuna,8,31.00,60,2018-03-10
85,Refined Plastic Salad,5,88.00,61,2016-09-25
86,Gorgeous Plastic Chips,8,37.00,93,2020-10-31
87,Generic Concrete Soap,6,23.00,16,2019-11-23
88,Awesome Soft Table,5,78.00,35,2015-06-26
89,Gorgeous Concrete Pants,1,58.00,25,2019-02-08
90,Rustic Fresh Mouse,4,26.00,98,2017-08-25
91,Practical Plastic Table,3,29.00,85,2022-01-27
92,Intelligent Plastic Chips,2,90.00,87,2017-03-16
93,Small Fresh Chips,2,57.00,18,2020-09-09
94,Intelligent Frozen Sausages,1,15.00,92,2023-09-03
95,Refined Rubber Cheese,3,64.00,40,2018-05-29
96,Ergonomic Granite Soap,8,58.00,21,2021-08-03
97,Tasty Steel Towels,1,46.00,79,2015-09-11
98,Fantastic Wooden Salad,1,88.00,80,2019-05-23
99,Handcrafted Metal Salad,1,87.00,11,2019-05-20
100,Fantastic Steel Cheese,5,44.00,67,2020-06-09
101,Fantastic Cotton Chair,3,64.00,62,2023-10-13
102,Handmade Granite Chair,5,95.00,35,2016-08-19
103,Tasty Soft Salad,4,11.00,33,2014-12-09
104,Practical Frozen Computer,7,67.00,55,2018-05-22
105,Licensed Metal Table,1,53.00,93,2024-02-25
106,Refined Cotton Towels,1,41.00,99,2015-12-31
107,Generic Fresh Pants,7,26.00,10,2015-04-01
108,Refined Frozen Chicken,4,15.00,26,2018-12-18
109,Licensed Plastic Ball,6,39.00,51,2022-05-08
110,Intelligent Frozen Hat,7,54.00,9,2020-07-11
111,Ergonomic Concrete Keyboard,3,12.00,74,2015-09-01
112,Gorgeous Wooden Chips,2,46.00,46,2016-11-28
113,Refined Metal Ball,4,14.00,62,2017-02-16
114,Practical Concrete Pants,7,70.00,59,2022-02-17
115,Licensed Rubber Table,8,67.00,1,2020-02-06
116,Tasty Rubber Gloves,4,85.00,62,2022-02-27
117,Ergonomic Granite Soap,7,36.00,23,2017-09-02
118,Sleek Soft Fish,1,19.00,11,2019-09-27
119,Rustic Cotton Bacon,5,71.00,91,2016-09-04
120,Generic Fresh Bacon,3,53.00,41,2016-07-03
121,Awesome Granite Keyboard,8,62.00,70,2016-06-21
122,Unbranded Plastic Bacon,5,26.00,62,2021-11-24
123,Fantastic Concrete Pizza,2,52.00,9,2020-01-02
124,Sleek Metal Towels,5,46.00,33,2020-07-20
125,Practical Concrete Cheese,3,45.00,99,2019-06-21
126,Incredible Frozen Shirt,7,39.00,37,2020-08-31
127,Handmade Wooden Bike,3,89.00,53,2019-05-13
128,Handcrafted Soft Pants,2,98.00,79,2020-05-31
129,Unbranded Plastic Chicken,8,15.00,26,2022-04-07
130,Unbranded Concrete Fish,2,75.00,25,2015-06-26
131,Handcrafted Concrete Towels,8,41.00,37,2024-07-27
132,Incredible Soft Shoes,7,76.00,11,2020-07-08
133,Handmade Frozen Shirt,6,81.00,34,2022-11-02
134,Gorgeous Soft Salad,5,80.00,62,2019-05-07
135,Licensed Wooden Ball,1,34.00,2,2020-05-19
136,Refined Soft Mouse,6,14.00,20,2021-10-30
137,Ergonomic Granite Table,1,62.00,97,2017-03-04
138,Awesome Soft Bike,7,28.00,5,2022-09-01
139,Practical Wooden Salad,8,47.00,82,2022-07-31
140,Generic Frozen Mouse,1,28.00,51,2018-12-04
141,Awesome Metal Chicken,3,83.00,13,2022-04-17
142,Gorgeous Soft Gloves,4,24.00,94,2022-09-21
143,Ergonomic Frozen Bacon,6,17.00,90,2017-12-09
144,Small Granite Towels,4,35.00,14,2024-10-12
145,Refined Granite Soap,1,77.00,50,2022-08-04
146,Fantastic Metal Bike,5,100.00,77,2023-09-30
147,Incredible Granite Bike,5,62.00,52,2015-12-29
148,Intelligent Metal Pants,5,28.00,26,2019-12-24
149,Fantastic Plastic Chair,1,28.00,50,2016-08-15
150,Awesome Cotton Computer,1,91.00,58,2022-08-05
151,Generic Steel Towels,3,24.00,39,2024-05-30
152,Awesome Rubber Bacon,1,19.00,32,2015-01-17
153,Handmade Frozen Bacon,1,47.00,34,2015-09-03
154,Incredible Fresh Salad,7,15.00,3,2024-05-23
155,Awesome Cotton Bike,4,29.00,25,2019-10-03
156,Generic Granite Car,4,22.00,7,2020-02-13
157,Unbranded Steel Bike,4,17.00,63,2024-02-06
158,Incredible Plastic Keyboard,8,44.00,50,2022-07-19
159,Practical Wooden Car,8,51.00,85,2020-11-18
160,Licensed Rubber Chips,3,66.00,14,2024-09-20
161,Refined Plastic Chair,4,83.00,16,2021-05-15
162,Handcrafted Steel Chicken,7,11.00,55,2021-05-29
163,Licensed Wooden Soap,7,71.00,94,2021-08-08
164,Fantastic Soft Shoes,4,41.00,79,2017-12-09
165,Tasty Wooden Cheese,5,44.00,85,2017-04-17
166,Small Granite Table,2,74.00,92,2023-09-27
167,Tasty Wooden Mouse,8,24.00,67,2018-07-15
168,Handmade Cotton Ball,1,91.00,21,2017-05-31
169,Gorgeous Steel Hat,8,22.00,99,2024-09-15
170,Intelligent Steel Table,6,99.00,23,2023-06-02
171,Practical Frozen Fish,8,60.00,55,2016-02-14
172,Licensed Wooden Salad,7,59.00,21,2021-08-25
173,Practical Granite Gloves,7,80.00,23,2017-11-25
174,Fantastic Concrete Pizza,2,68.00,57,2021-11-07
175,Sleek Steel Chicken,1,30.00,8,2017-10-08
176,Handcrafted Soft Fish,6,90.00,22,2018-06-28
177,Unbranded Rubber Pants,3,81.00,74,2022-07-22
178,Generic Concrete Car,8,84.00,45,2016-09-11
179,Practical Soft Shoes,6,93.00,68,2018-03-26
180,Incredible Granite Tuna,2,52.00,20,2020-04-08
181,Refined Wooden Bacon,4,35.00,85,2018-10-24
182,Practical Metal Table,8,89.00,38,2018-05-06
183,Fantastic Fresh Tuna,7,35.00,29,2020-09-03
184,Awesome Concrete Bacon,3,62.00,17,2018-03-14
185,Unbranded Plastic Bike,1,54.00,51,2015-09-22
186,Handcrafted Metal Sausages,7,88.00,65,2020-01-13
187,Gorgeous Steel Ball,3,59.00,5,2019-01-23
188,Refined Rubber Fish,4,36.00,50,2019-06-05
189,Unbranded Soft Towels,6,82.00,49,2022-12-28
190,Unbranded Granite Pizza,8,23.00,99,2024-09-16
191,Gorgeous Cotton Keyboard,3,72.00,69,2018-07-19
192,Sleek Metal Tuna,7,49.00,61,2016-05-04
193,Tasty Metal Table,3,24.00,66,2024-10-17
194,Refined Frozen Fish,7,52.00,20,2017-09-19
195,Licensed Soft Computer,8,91.00,20,2019-11-22
196,Awesome Rubber Cheese,5,50.00,48,2022-11-17
197,Practical Wooden Pants,7,26.00,76,2022-10-30
198,Handcrafted Steel Soap,6,50.00,9,2020-01-05
199,Fantastic Wooden Towels,2,13.00,43,2020-05-26
200,Rustic Fresh Pizza,5,65.00,38,2016-07-21
